genres,avg_rating
Action,7.246831955922865
Adventure,7.354769230769231
Animation,7.424752475247525
Biography,7.556363636363636
Comedy,7.257712765957447
Crime,7.6053892215568855
Drama,7.518040435458787
Fantasy,7.1569105691056905
History,7.408771929824562
Horror,7.021138211382114
Music,6.989108910891089
Mystery,7.469536423841061
Romance,7.264285714285715
Sci-Fi,7.460869565217391
Sport,7.0035398230088495
Thriller,7.4146226415094345
War,7.485585585585586
Western,8.0
